Sample ID,pi estimate,(1-rho)/(rho*psi),TmS
ICGC_PCA001_T01,0.828,0.443,4.283
ICGC_PCA002_T01,0.761,0.682,4.339
ICGC_PCA003_T01,0.674,0.542,2.243
ICGC_PCA004_T01,0.644,0.359,1.297
ICGC_PCA005_T01,0.818,0.75,6.747
ICGC_PCA006_T01,0.868,0.57,7.522
ICGC_PCA009_T01,0.875,0.971,13.539
ICGC_PCA010_T01,0.874,0.847,11.699
ICGC_PCA011_T01,0.877,0.611,8.69
ICGC_PCA012_T01,0.872,0.537,7.343
ICGC_PCA014_T01,0.335,0.422,0.426
ICGC_PCA015_T01,0.497,0.587,1.159
ICGC_PCA021_T01,0.47,1.015,1.798
ICGC_PCA024_T01,0.42,0.816,1.184
ICGC_PCA025_T01,0.596,0.462,1.364
ICGC_PCA026_T01,0.418,0.714,1.026
ICGC_PCA027_T02,0.354,0.486,0.532
ICGC_PCA028_T01,0.453,0.294,0.486
ICGC_PCA030_T01,0.493,0.268,0.522
ICGC_PCA031_T01,0.599,1.069,3.186
ICGC_PCA033_T01,0.167,0.52,0.208
ICGC_PCA034_T01,0.389,1.012,1.288
ICGC_PCA034_T02,0.508,0.924,1.911
ICGC_PCA034_T03,0.445,1.012,1.623
ICGC_PCA034_T04,0.443,0.924,1.468
ICGC_PCA034_T05,0.434,0.5,0.767
ICGC_PCA034_T06,0.403,1.06,1.43
ICGC_PCA035_T01,0.75,0.426,2.551
ICGC_PCA035_T02,0.734,0.294,1.617
ICGC_PCA035_T03,0.723,0.443,2.319
ICGC_PCA035_T04,0.704,0.269,1.28
ICGC_PCA035_T05,0.601,0.194,0.586
ICGC_PCA035_T06,0.56,0.204,0.52
ICGC_PCA037_T01,0.681,0.652,2.78
ICGC_PCA037_T02,0.512,0.967,2.03
ICGC_PCA037_T05,0.614,0.587,1.867
ICGC_PCA037_T06,0.699,1.224,5.676
ICGC_PCA038_T01,0.619,0.72,2.34
ICGC_PCA038_T02,0.499,0.75,1.494
ICGC_PCA038_T03,0.667,0.658,2.633
ICGC_PCA038_T04,0.741,0.636,3.642
ICGC_PCA038_T05,0.679,0.663,2.81
ICGC_PCA038_T06,0.65,0.745,2.763
ICGC_PCA039_T01,0.369,1.286,1.502
ICGC_PCA041_T01,0.496,0.453,0.89
ICGC_PCA041_T03,0.435,0.587,0.905
ICGC_PCA041_T04,0.365,0.658,0.756
ICGC_PCA041_T05,0.515,0.412,0.873
ICGC_PCA041_T06,0.292,0.663,0.547
ICGC_PCA042_T01,0.399,0.808,1.075
ICGC_PCA043_T01,0.418,0.081,0.117
ICGC_PCA044_T01,0.545,0.658,1.574
ICGC_PCA044_T02,0.475,0.685,1.238
ICGC_PCA044_T03,0.649,0.134,0.497
ICGC_PCA045_T02,0.273,0.537,0.404
ICGC_PCA049_T01,0.673,0.235,0.969
ICGC_PCA056_T01,0.475,0.685,1.24
ICGC_PCA057_T01,0.211,0.811,0.433
ICGC_PCA058_T01,0.125,0.714,0.204
ICGC_PCA059_T01,0.313,0.816,0.743
ICGC_PCA060_T01,0.186,0.75,0.344
ICGC_PCA061_T01,0.335,0.52,0.524
ICGC_PCA062_T01,0.217,0.426,0.236
ICGC_PCA064_T01,0.419,0.48,0.692
ICGC_PCA069_T01,0.463,0.582,1.004
ICGC_PCA070_T01,0.556,0.967,2.422
ICGC_PCA071_T01,0.78,0.309,2.195
ICGC_PCA072_T01,0.274,0.496,0.374
ICGC_PCA084_T01,0.355,0.476,0.524
ICGC_PCA090_T01,0.639,0.782,2.765
ICGC_PCA091_T01,0.637,0.924,3.243
ICGC_PCA094_T01,0.72,0.559,2.88
ICGC_PCA095_T01,0.451,0.69,1.133
ICGC_PCA096_T01,0.767,0.542,3.569
ICGC_PCA098_T01,0.31,0.564,0.506
ICGC_PCA099_T01,0.861,1.542,19.098
ICGC_PCA100_T01,0.197,0.48,0.236
ICGC_PCA105_T01,0.809,0.685,5.822
ICGC_PCA106_T01,0.876,0.847,11.967
ICGC_PCA111_T01,0.882,0.362,5.434
ICGC_PCA112_T01,0.889,0.606,9.712
ICGC_PCA116_T01,0.213,0.636,0.345
ICGC_PCA118_T01,0.325,0.847,0.815
ICGC_PCA124_T01,0.431,0.57,0.865
ICGC_PCA125_T01,0.137,0.924,0.293
ICGC_PCA127_T01,0.341,0.967,0.999
ICGC_PCA128_T01,0.208,0.924,0.485
ICGC_PCA134_T01,0.306,0.606,0.536
ICGC_PCA138_T01,0.342,0.279,0.29
ICGC_PCA144_T01,0.292,0.663,0.545
ICGC_PCA145_T01,0.371,0.458,0.54
ICGC_PCA148_T01,0.344,0.885,0.928
ICGC_PCA155_T01,0.362,0.851,0.967
ICGC_PCA156_T01,0.428,0.496,0.743
ICGC_PCA158_T01,0.885,0.147,2.273
ICGC_PCA159_T01,0.423,0.847,1.24
ICGC_PCA161_T01,0.655,0.281,1.067
ICGC_PCA162_T01,0.223,0.685,0.394
ICGC_PCA168_T01,0.469,0.281,0.496
ICGC_PCA169_T01,0.253,0.611,0.414
ICGC_PCA170_T01,0.378,0.618,0.753
ICGC_PCA172_T01,0.345,0.5,0.526
ICGC_PCA175_T01,0.284,0.204,0.162
ICGC_PCA176_T01,0.282,0.658,0.516
ICGC_PCA184_T01,0.349,0.409,0.439
ICGC_PCA187_T01,0.281,0.587,0.459
ICGC_PCA192_T01,0.377,0.142,0.172
ICGC_PCA196_T01,0.299,0.929,0.791
ICGC_PCA198_T01,0.324,0.496,0.476
